Employer_id,employer_name,employer_address_1,employer_address_2,Geography_id,employer_num_employees,employer_phone,employer_phone_ext,employer_yr_estab
1030,"Munster Medical Research Foundation, Inc.",D/B/A The Community Hospital,901 Macarthur Blvd,2271,2900,219-836-1600,,1973
1031,"Nan Ya Plastics Corporation, America",5561 Normandy Road,,32783,150,225-492-2141,,1991
1032,Ahs Hospital Corp.,475 South Street,,37287,10200,973- 660-3123,,1996
1033,"Geo-Engineering & Testing, Inc.",187 Perez Coral Road,,43435,20,671-646-5500,,1979
1034,Wrapido Corporation,2334 Ponce De Leon,,15328,44,3058846851,208,1997
1035,Northern Illinois University,406 Williston Hall,,801,6959,815-753-8280,,1895
1036,Transplace,3010 Gaylord Parkway,Suite 200,34715,700,972-731-4622,,2000
1037,"Children'S Healthcare, Inc.",257A Low Street,,8553,50,978-465-7121,,1972
1038,Baldwin Rd Pharmacy Inc,944 Baldwin Rd,Ste B,22491,5,8102459600,,2014
1039,"At&T Services, Inc.",One At&T Plaza,208 S. Akard,34864,256420,800-403-3302,,1897
1040,"Quality Vision International, Inc.",850 Hudson Ave.,,6119,221,585-544-0450,221,1945
1041,"At&T, Inc., And All Of Its Subsidiaries And Affiliates",One At&T Plaza,208 S. Akard Street,34864,256420,800-403-3302,,1897
1042,"Idhasoft, Inc.",Six Concourse Pkwy,"Suite 500, Floor 5",13857,258,770-248-2999,,2008
1043,George Washington University,"Old Main Bldg, 1922 F St, Nw - Suite 205",International Services Office,8783,6419,202-994-4477,,1821
1044,West Corporation,11808 Miracle Hills Drive,,31803,9500,402-963-1200,,1986
1045,Vi-Jon Inc,8515 Page Avenue,,29680,1422,3144271000,,1999
1046,"Cisco Systems, Inc.",170 West Tasman Drive,Mail Stop: Sjc 05/1/4,42629,74042,408-526-4000,,1984
1047,Acclaim Systems,110 E. Penn Blvd,,8304,95,2153541421,,1997
1048,"Daimay North America Automotive, Inc",24400 Plymouth Rd.,,22344,85,313-533-9680,,2009
1049,Sri Anjaneya Technologies,"4851 Keller Springs Road, Suite 228",,16,58,469-814-8637,,2008
1050,University Of Massachusetts Amherst,"Division Of Human Resources, Whitmore Administration Building, Room 325",181 Presidents Drive,3834,6100,(413) 545-6108,,1863
1051,Duke University And Medical Center,"Duke Visa Services, Smith Warehouse, Bay 7 - 1St Floor","114 S. Buchanan Boulevard, Box 90790",12155,35000,919-681-8472,232,1839
1052,Airwatch Llc,1155 Perimeter Center West,,13868,1000,4049024216,,2013
1053,Kforce Inc.,1001 East Palm Avenue,,15669,13100,813-552-5000,,1994
1054,Datum Software Inc,12000 Findley Road,Suite 350,13671,75,6787400263,,1992
1055,Kim Chiropractic & Rehab Center - Blue Bell,704 Dekalb Pike,,314,14,6103133185,,2006
1056,Santen Inc.,2100 Powell Street Suite 1600,,985,84,4152689100,,1993
1057,"Oakley, Inc.",1 Icon,,1100,3400,949-951-0991,,1975
1058,Wolters Kluwer United States Inc.,2700 Lake Cook Road,,27823,318,847-267-7000,,1990
1059,"Iconma, Llc",850 Stephenson Hwy,Suite 612,22192,860,248-583-1930,,2000
1060,"Workspot, Inc.",1601 S. De Anza Blvd.,Suite 230,753,22,408-533-8669,,2012
1061,Z Technologies Corporation,26500 Capitol Avenue,,22344,33,313-937-0710,202,1996
1062,"Soa Software, Inc.",12100 Wilshire Blvd.,Suite 1800,40562,123,3105704100,,1999
1063,"Thinc Systems, Inc",31500 W. 13 Mile Road,Suite 201,22404,40,248-538-9494,101,2004
1064,Osf Saint Francis Medical Center,530 N.E. Glen Oak Avenue,,28802,6225,309-655-2000,,1876
1065,Mercy Clinic Fort Smith Communities,2901 S. 74Th Street,,33840,240,479-314-1109,,2007
1066,"Integrity On-Site, Llc",101 S. Phillips Ave,Suite 300,26629,210,6057896910,,2000
1067,Champlain Valley Physicians Hospital Medical Cente,75 Beekman St.,,2687,2376,518-561-2000,,1972
1068,"Infomatics Technologies Inc.,","23629 Liberty Street,","Suite # 203,",22406,10,248-770-4056,,2001
1069,Westfield State University,P.O. Box 1630,577 Western Avenue,4275,900,413-572-8106,,1838
1070,Dsfederal Inc,11900 Parklawn Drive,Suite 406,9242,75,3012082829,,2007
1071,Reliable Software Resources Inc,22260 Haggerty Road,Suite # 285,2442,350,248-504-6870,,2004
1072,"Mobile Iron, Inc.",415  East Middlefield Road,,42132,528,650-919-8100,,2007
1073,"Alan Graff, M.D.,P.A.",3061 E Commercial Blvd,,15442,5,9544910031,,1992
1074,Coos County Oregon,250 N Baxter St,,43726,285,5417522547,,1853
1075,Avani Technology Solutions Inc.,687 Lee Road,Suite 208,6103,69,585-584-1313,,2008
1076,"Paypal, Inc.",2211 North First Street,,42624,11794,408-376-7440,,1999
1077,Altaflux Corporation,3250 W. Big Beaver Rd,Ste.342,22193,18,2488502298,866,2004
1078,"Tpabenefits, Inc.   Dba Health Portal Solutions",11550 Ih 10 West,Suite 220,36563,13,2106979900,205,2000
1079,Pioneer Corporate Services Inc.,44345 Premier Plaza,Suite 120,8844,81,703-726-1654,,2002
1080,Microexcel Inc,"400 Plaza Drive, 1St Floor",,32914,120,201-866-6789,,2001
1081,"Quintiles, Inc.",5927 S. Miami Blvd.,,2222,8958,919/998-2888,,1982
1082,Massachusetts Mutual Life Insurance Company,1295 State Street,,4398,6800,413-744-7334,,1851
1083,Ebay Inc.,2065 Hamilton Ave.,,42616,14551,408-376-4952,,1995
1084,"Captain Blue, Llc",800 Food Center Dr. Unit 10,,4147,17,718-617-1110,,2007
1085,"Florida Engineering And Design, Inc.",255 County Road 555 South,,15813,15,863-665-6363,106,1987
1086,Scm Data Inc,30 Montgomery St,,33904,192,201-484-7644,,2006
1087,"Appalachian Regional Healthcare, Inc",2260 Executive Drive,,18767,4500,859-226-2528,,1963
1088,Kpit Infosystems Inc.,379 Thornall Street,,40214,400,732-321-0921,101,1998
1089,"Moore Engineering, Inc.",925 10Th Ave E,,3618,152,701-282-4692,,1970
1090,Man Diesel & Turbo North America Inc.,2 Amboy Avenue / Po Box 5043,,3770,315,732-582-8200,,1990
1091,Kforce Inc.,1001 East Palm Avenue,,15669,12300,813-552-5000,,1994
1092,Thyssenkrupp Elevator,11605 Haynes Bridge Road,Suite 650,13573,6539,678 319 3250,,1960
1093,Mississippi State University,150 Barr Avenue (Mcarthur),,18459,4200,662-325-1831,,1878
1094,"Compusoft Integrated Solutions, Inc.",31500 W. 13 Mile Road,Ste # 200,22404,80,2485389494,102,1997
1095,The Lutheran University Association,1700 Chapel Drive,,3485,1190,2194645000,,1925
1096,San Francisco State University,1600 Holloway Ave,,42230,3500,4154054256,,1899
1097,"Fbl Financial Group, Inc.",5400 University Avenue,,23602,1784,515-225-5400,,1945
1098,Wwf Operating Company F/K/A Whitewave Foods Co.,12002 Airport Way,,37447,1800,303-635-4000,,1977
1099,Rite Aid Corporation,30 Hunter Lane,,7339,92000,(717) 214-8883,,1962
1100,"Orion Systems Integrators, Inc",3759 Us Highway1 South,Suite#104,40236,1000,732-384-6101,,1993
1101,Moonit Llc,817 Broadway,Fl 4,3892,2,646-380-9459,,2009
1102,University Of Kentucky,101 Main Building,,18769,13500,859-257-9000,,1865
1103,Cardinal Health,7000 Cardinal Place,,19541,32000,614-757-5000,,1971
1104,Omnicom Media Group Holdings Inc,195 Broadway,,3902,205,2125907086,,2002
1105,Loyola University Maryland,4501 N. Charles Street,,9429,1300,410-617-2354,,1852
1106,"B&C Transit, Inc.",7955 Edgewater Drive,,42423,112,5104833560,223,1996
1107,"Quality Software Services, Inc.",10025 Governor Warfield Parkway,#401,668,725,301-977-7884,203,1997
1108,"Saama Technologies, Inc",900 E Hamilton Avenue,Suite 200,451,248,4083711900,,1997
1109,Iknowvate Technologies Inc,30600  Northwestern Hwy,Suite 480,22404,40,248-626-7575,33,2001
1110,"Lamps Plus, Inc.",20250 Plummer Street,,552,1200,818-886-5267,,1976
1111,American Express Travel Related Services,200 Vesey Street,Mail Code: 01-49-10,4093,5,212-640-2000,,1850
1112,"Comcast Cable Communications, Llc",One Comcast Center,1701 Jfk Boulevard,8351,129000,215-286-5912,,1963
1113,American Express Travel Related Services,200 Vesey Street,Mail Code: 01-49-10,4093,62800,212-640-2000,,1850
1114,Sunpower Consulting,"920 Davis Road , Suite 210",,27942,20,8473315335,,2005
1115,Goldman Sachs & Co.,200 West Street,,4090,10941,212-902-1000,,1869
1116,East West Systems Inc.,277 Fairfield Road,Suite 331,32397,40,9734575727,,2006
1117,Bae Systems,1101 Wilson Blvd,Suite 2000,9857,36000,703-659-3991,,1999
1118,"Manhattan Associates, Inc.",2300 Windy Ridge Parkway,Suite 1000,13870,2625,678-597-7719,,1989
1119,"Pds Tech, Inc",1925 W. John Carpenter Fwy,Suite 550,34751,3618,800-270-4737,,1977
1120,Agfa Corporation,611 River Drive,,982,11100,201-440-0111,,1964
1121,"Zillion Technologies, Inc",45189 Research Place,Suite 150,8844,81,240-793-9268,,2002
1122,International Fund For China'S Environment,2421 Pennsylvania Ave Nw,,8771,6,2028222141,,1996
1123,Babson Capital Management Llc,1500 Main Street,Suite 2800,4400,606,413-226-1000,,1940
1124,University Of North Georgia,82 College Circle,,14041,900,7068641440,,2013
1125,Log(N) Llc,171 2Nd St. Ste. 400,,42188,8,4155002558,,2010
1126,"Mercury Technology Group, Inc.",6430 Oak Canyon,Suite 100,41537,73,9494170260,413,1993
1127,"Christopher F. Brandy, M.D.P.C.",3 Lyon Place,,2495,14,3153932611,,1978
1128,"Rei Systems, Inc.",45335 Vintage Park Plaza,,8866,518,703-480-9100,,1989
1129,Rhodium Group Llc,5 Columbus Circle,Suite 1801,3925,26,2125321157,,2008
1130,Lifenet Health,1864 Concert Drive,,10382,685,(757) 464-4761,,1982
1131,"Citigroup Technology, Inc.",399 Park Avenue,,3936,962,212-793-7025*,,1988
1132,"Brightroll, Inc.","343 Sansome Street, Suite 600",,42185,1,4156779222,,2006
1133,"Baystate Medical Practices, Inc.",759 Chestnut Street,,4740,1274,413-794-2571,,1985
1134,"Citrix Systems, Inc.",851 West Cypress Creek Road,,15445,5600,954-267-3000,7872,1989
1135,"Pegasys Systems & Technologies, Inc",22260 Haggerty Rd Suite # 215,,2442,47,248-327-3080,,2002
1136,Miracle Software Systems Inc.,45625 Grand River Ave,,2458,200,248-350-1515,,1994
1137,"Tintri, Inc",303 Ravendale Drive,,42132,265,650-810-8200,,2008
1138,Ventyx Inc.,400 Perimeter Center Terrace,Suite 500,13883,723,770-350-1000,,1976
1139,C&D Zodiac,5701 Bolsa Avenue,,41552,3900,714.934.0000,,1972
1140,"Servicenow, Inc.",2225 Lawson Lane,,42572,1621,8588766588,,2004
1141,"Bmk Solutions, Llc",11977 Harrison Road,,22277,18,248-933-1724,,2009
1142,Mindtree Limited,25 Independence Blvd.,Ste 401,3550,766,908-604-8080,,1999
1143,"Interactive Network Technologies, Inc. (Int, Inc.)","2901 Wilcrest, Suite 300",,35825,45,713-975-7434,,1989
1144,"American Infosys,Inc",3781 Westerre Parkway,Suit # F,10267,43,702-612-2744,,2008
1145,Amazon Corporate Llc,440 Terry Ave N,,44045,117300,206-266-1000,,1999
1146,"Strata Decision Technology, Llc",2001 S. First St. Suite 200,,532,120,2173598422,,1996
1147,Arkansas Health Group,11001 Executive Center Drive,Suite 200,33511,588,5018127587,,1995
1148,Janney Montgomery Scott,1717 Arch St,,8351,1760,215-665-6000,,1831
1149,"Mattress Firm, Inc.",5815 Gulf Freeway,,35803,3100,7136512000,,1986
1150,"Netronome Systems, Inc.",3159 Unionville Road,Suite 100,727,100,724-778-3290,259,2003
1151,Carnegie Mellon University,5000 Forbes Avenue,Office Of International Education,6447,5140,412-268-5231,,1900
1152,"Wells Fargo Advisors, Llc",1 North Jefferson Avenue,,29660,264000,4153712625,,1852
1153,"Mantra Telecom, Inc",6565 N Macarthur Blvd Ste 150,,34720,68,9725060900,,2008
1154,Baynode,Four Embarcadero Center #3350,,42206,5,4152743100,,2004
1155,"Regeneron Pharmaceuticals, Inc.",777 Old Saw Mill River Road,,3352,2700,914-847-7000,,1988
1156,"Palo Alto Networks, Inc.",4401 Great America Parkway,,42572,1722,408-753-4000,,2005
1157,Sarayu Consultants Inc,870 E Higgins Rd,Suite 143B,27993,70,847-971-7864,,2001
1158,Georgia State University,Sparks Hall- Room 252,33 Gilmer Street Se,13824,3887,(404) 413-2070,,1913
1159,Revitas Inc.,1735 Market St.,37Th Floor,8351,190,215-344-1900,,1989
1160,"Emes Professional Associates, Pc",46 Jackson Drive,,730,110,866-909-7284,,2006
1161,"Randstad Professionals Us, Lp","150 Presidential Way, 4Th Floor",,3764,31000,781-213-1662,,1960
1162,Infosys Ltd.,6100 Tennyson Parkway,Suite 200,34705,16866,469-229-9400,,1981
1163,Yahoo! Inc.,701 First Avenue,,42177,12200,408-349-3300,,1994
1164,"Clinicas Del Camino Real, Inc.",200 South Wells Road,Suite 200,41675,528,805-659-1740,205,1975
1165,The Gymboree Corporation,500 Howard Street,,42188,510,415.278.7000,,1976
1166,"Systems Technology Group, Inc. (Stg)",3001 West Big Beaver Road,Suite 500,22193,200,248-712-6703,,1985
1167,"Cadence Design Systems, Inc.",2655 Seely Avenue,,42629,5949,408-943-1234,,1988
1168,Mmc Systems Inc.,44632 Guilford Dr,Suite 101,8844,136,7034639671,,2006
1169,Apple Inc.,1 Infinite Loop,,753,72800,408-974-4146,408,1977
1170,"God'S Heart Health, Inc.",8754 Garden Grove Blvd,,41642,5,714-539-1200,,2010
1171,"Verisk Health, Inc.",201 Jones Rd,4 Fl,3544,1630,7816933700,,2001
1172,Wright State University,352 University Hall,3640 Colonel Glenn Highway,20839,3000,9377753540,,1967
1173,Ernst & Young U.S. Llp,200 Plaza Drive,,3092,31000,201-872-2200,2899,1989
1174,Sbm Group Inc,6 Kilmer Road,Suite # N,936,35,7328199800,,2001
1175,Capgemini Financial Services Usa Inc.,6400 Shafer Court,Suite 100,27831,2178,8473846100,,1989
1176,Fourans Llc,26 Murphy Dr,,376,35,9084008836,,2008
1177,"Ncs Pearson, Inc.",5601 Green Valley Drive,,25800,704,952-681-3633,,1962
1178,"Saama Technologies, Inc",900 E Hamilton Avenue,Suite 200,451,250,4083711900,,1997
1179,"Hpi,Llc",15503 West Hardy,,35847,71,713-457-7500,,2002
1180,Anagh Technologies,2 Lake View Avenue,Suite 310,2664,78,7325295655,,2007
1181,Winmax Systems Corporation,1551 Mccarthy Blvd.,Suite 101,2145,23,6508886056,,2005
1182,"T-Mobile Usa, Inc.",12920 Se 38Th St.,,43948,40000,425-383-4000,,1994
1183,"Amerisourcebergen Specialty Group, Inc.",3101 Gaylord Parkway,,34715,13000,(610) 727-7426,,2001
1184,"Capital One, National Association",15000 Capital One Drive,,10275,43000,804-284-1000,,1933
1185,Google Inc.,1600 Amphitheatre Parkway,,42132,47756,650-253-0000,,1998
1186,Elliott Management Corporation,40 West 57Th Street,,3925,100,212-974-6000,,1994
1187,"Heartland Employment Services, Llc",333 N. Summit Street,,19881,58000,800-427-1902,5677,1991
1188,Applications Software Technology Corporation,1755 Park Street,Suite 100,28220,220,630-778-1180,,1995
1189,Cgi Technologies And Solutions Inc.,11325 Random Hills Road,,1032,69000,703-267-8000,,1976
1190,"Yash Technologies, Inc.",605 17Th Avenue,,906,375,309 755 0433,16,1996
1191,University Of Utah,"Office Of General Counsel, Room 309 Park",201 South President'S Circle,38875,30366,801-585-7002,,1850
1192,Cerner Corporation,2800 Rockcreek Parkway,,30171,15000,8162011024,,1979
1193,"Nutrisystem, Inc",600 Office Center Drive,,8286,470,215 706-5300,,1972
1194,Pricewaterhousecoopers,300 Madison Avenue,,3918,30000,646-471-3000,,1998
1195,"Minipumps, Llc",2645 Nina Street,,40867,7,626-376-4802,,2008
1196,Rider University,120 Moore Library Building,2083 Lawrenceville Road,3871,600,609-896-5000,5035,1865
1197,Cintra Us Services Llc,9600 Great Hills Trail,Suite 250E,36936,58,5123714892,,2005
1198,Xoriant Corporation,1248 Reamwood Avenue,,42177,475,4087434415,,1990
1199,Goldman Sachs & Co.,200 West Street,,4090,11650,212-902-1000,,1869
1200,"Facebook, Inc.",1 Hacker Way,(Also Known As 1601 Willow Road),2066,7185,650-543-4800,,2004
1201,Capital One Services Ii Llc,15000 Capital One Drive,,10275,43000,804-284-1000,,2005
1202,Stantec Consulting Services Inc.,601 Grassmere Park Road,Suite 22,17196,4500,615-885-1144,,1954
1203,Turbo Drill Industries Inc.,1125 Beach Airport Rd,,683,148,936-756-3210,,2007
1204,Cogent Technologies Llc,2810 Crossroads Dr,Suite 4000,24857,13,202 255 9449,,2012
1205,Abb Inc.,12040 Regency Parkway,,12028,24000,(919) 807-5780,,1988
1206,Intrepid Pursuits Llc,222 Third St,Suite 4000,9521,31,6172130589,,2010
1207,Goldman Sachs Services Llc,200 West Street,,4090,1830,212-902-1000,,1997
1208,Synechron,1 Corporate Place South,Suite 200,2664,600,7325620088,4243,2005
1209,"Aruba Networks, Inc.",1322 Crossman Avenue,,42177,1473,408-754-3012,,2002
1210,Vedic Consulting Inc,5 Independence Way,Suite 300,2758,6,7329933685,,2007
1211,Linkedin Corporation,2029 Stierlin Court,,42132,6000,650-687-3600,,2003
1212,Equifax,"1550 Peachtree Street Nw, J42A",,13832,7000,7707405413,,1899
1213,"Hireright, Inc.",5151 California Avenue,,41536,260,949-428-5800,,1990
1214,"Jireh Semiconductor, Inc.",3131 Ne Brookwood Parkway,,43546,240,5036816307,,2011
1215,California Polytechnic State University,"Office Of Equal Opportunity, Bldg. 33, Room 290",One Grand Avenue,41841,2500,(805)756-7387,,1901
1216,Texas Instruments Incorporated,12500 Ti Blvd.,,34911,32209,972-995-2011,,1930
1217,Cameron International Corporation,"1333 West Loop South, Suite 1700",,35807,27000,7135133300,,1995
1218,Peninsula Regional Medical Center,100 East Carroll Street,,2975,2900,410-912-2867,,1897
1219,Yahoo! Inc.,701 First Avenue,,42177,58000,408-349-3300,,1994
1220,"Johnson Controls, Inc",5757 N Green Bay Ave.,,24677,170000,414-524-3574,,1885
1221,Itech Us Inc.,20 Kimball Avenue,Suite 303 North,3186,361,802-383-1500,123,2001
1222,Iconsoft Inc.,101 Cambridge Street Suite 360,,430,132,888-205-4614,1,1998
1223,"Galaxy Software Solutions, Inc.",5820 N Lilley Rd.,Suite # 8,459,45,734-983-9020,,2004
1224,"Nextdoor.Com, Inc.",760 Market Street Suite 300,,2996,109,650-868-9065,,2007
1225,Turner Construction,2 Seaport Lane,,9802,5315,617-247-6400,,1904
1226,"John Varvatos Enterprises, Inc.",26 West 17Th Street,12Th Floor,3910,190,(212) 812-8000,,1999
1227,University Of Pennsylvania,3701 Chestnut Street,Suite 1W,8354,32000,215-746-3216,,1740
1228,"Commvault Americas, Inc",1 Commvault Way,,35944,1268,732-870-4000,,2008
1229,Coupons.Com Incorporated,400 Logue Avenue,,42132,484,650-396-8724,,1998
1230,Onstar Corporation,400 Renaissance Dr.,M/C: 482-C32-D44,22353,490,313 667-1021,,1995
1231,Holsman Healthcare Llc,"710 Mill Street, Unit H3",,232,53,(973)393-5545,,2004
1232,Mylan Inc.,1000 Mylan Blvd.,,456,20000,7245141800,,1961
1233,Quest Diagnostics Incorporated,3 Giralda Farms,,1925,42000,574-315-4676,,1967
1234,Neo@Ogilvy,636 11Th Avenue,,3960,175000,212-259-5291,,2006
1235,Grupo Editorial El Venezolano,3625 Nw 82 Ave Suite 406,,15374,29,3057173209,,2005
1236,Bemidji State University,1500 Birchmont Dr. Ne,,252,650,218-755-2001,,1919
1237,"Galaxy Software Solutions, Inc.",5820 N Lilley Rd.,Suite # 8,459,48,734-983-9020,,2004
1238,"Celerity It, Llc",8401 Greensboro Drive,Suite 500,9806,539,703 848 1900,,2002
1239,Amerisourcebergen Corporation,1400 Morris Drive,,8339,13000,610-727-7000,,2001
1240,"Ecogreen Oleochemicals, Inc.","2825 Wilcrest Drive, Suite 418",,35825,6,7137875449,,1991
1241,Nebraska Book Company Inc.,4700 South 19Th Street,,31968,2557,402-421-7300,,1915
1242,"Wood Group Mustang, Inc.",17325 Park Row,,35879,7710,7133885698,,1987
1243,"Citrix Systems, Inc.",851 West Cypress Creek Road,,15445,5000,954-267-3000,7872,1989
1244,"Ntt Data, Inc",5601 Granite Parkway,Suite 1000,34705,5500,18007453263,1483,1965
1245,"Infosys Solutions, Inc.",2834 South Sherwood Forest Blvd,Suite: C2,32876,54,(225) 291 1991,,1999
1246,Isync Solutions Inc,41 University Drive,Suite # 400,2368,124,2158092070,,2012
1247,"The Mathworks, Inc.",Three Apple Hill Drive,,2304,2800,508-647-7000,,1984
1248,Telcobuy.Com,60 Weldon Parkway,,2001,24,3149191400,,1999
1249,Pegasystems Inc.,1 Rogers Street,,9521,1220,617-374-9600,,1983
1250,Macquarie Holdings (Usa) Inc.,125 West 55Th Street,,3925,2350,212-231-1000,,1985
1251,"Data Systems International, Inc.",1201 Walnut Street,Suite 1100,30158,183,8164165030,,1979
1252,"Cignex Datamatics, Inc.","2350 Mission College Blvd, Ste 490",,42572,71,4083279900,,2000
1253,Lynden Incorporated,"18000 International Blvd., Suite 800",,44094,189,206 241-8778,,1982
1254,"Delphi Capital Management,Inc.",590 Madison Avenue,30Th Floor,3936,35,212-838-7000,,1989
1255,"Scope Infotech, Inc.",10420 Little Patuxent Parkway,Ste 550,668,29,4437412680,,2007
1256,Customer Care Inc,3000 Executive Parkway,Suite 510,42381,14,925-277-0696,,1997
1257,Disney Online,500 South Buena Vista Street,,41016,937,818-560-8222,,2001
1258,"Aqua Management, Inc.",6280 S Valley View Blvd,Ste 212,40369,11,702-478-9700,,2009
1259,Bay Ridge Automotive Management Corpl.,6401 6Th Avenue,,4427,134,718-439-7888,,1986
1260,"Capital Legal Solutions, Llc",10521 Rosehaven St,Suite 300,1032,64,703-226-1500,,2002
1261,"Erp Analysts, Inc",425 Metro Place North,Ste# 510,19541,209,614-718-9222,,1999
1262,"Oliver Wyman, Inc",1166 Avenue Of The Americas,29Th Floor,3960,3000,212 345 8150,,2003
1263,Auburn University At Montgomery,Po Box 244023,Human Resources,16744,550,3342443641,,1967
1264,"Omnivision Technologies, Inc.",4275 Burton Drive,,42572,439,408-567-3000,,1995
1265,"Citrix Systems, Inc.",851 West Cypress Creek Road,,15445,5400,954-267-3000,7872,1989
1266,"Cox Communications, Inc.",1400 Lake Hearn Drive,,13844,10000,404-843-5000,,1962
1267,Calance Corporation,7101 Village Drive,,40750,23,8667365500,,2004
1268,Soo Line Railroad Company,120 South Sixth Street,Suite 800,25743,2100,(612) 904-6148,,1949
1269,Baldor Electric Company,"5711 R.S. Boreham, Jr. Street",,1119,27600,479-646-4711,,1920
1270,The Advisory Board Company,2445 M Street N.W.,,8771,2900,202-266-5600,,1979
1271,General Reinsurance Corporation,120 Long Ridge Road,,32254,1292,203 328 5351,,1970
1272,Cb&I Inc,3600 West Sam Houston Parkway South,Suite 500,35825,50000,2815048233,,1889
1273,"Alfa Gl, Inc.",990 Biscayne Blvd.,Suite 503,15325,9,3057930956,,1999
1274,"Charm Sciences, Inc.",659 Andover Street,,8013,251,978-687-9200,125,1978
1275,"Micron Technology, Inc.",8000 S. Federal Way,,38680,5607,208-368-3156,,1978
1276,Holy Name Medical Center,718 Teaneck Road,,3358,2100,2018333199,,1925
1277,"Calex Mfg. Co., Inc.",2401 Stanwell Dr.,,42304,45,925 687-4411,120,1962
1278,Mastercard International Incorporated,2000 Purchase St,,4209,6700,9142492996,,1966
1279,"Deutsche Bank Securities, Inc.",60 Wall Street,,3897,100000,212-250-2500,,1870
1280,The Pennsylvania State University,International Scholars & Faculty Visa Services/Ohr,404 James M. Elliott Bldg.,7244,46000,(814) 865-0423,,1855
1281,Aero Technologies,2200 N.W. 84Th Avenue,,15314,98,(305) 436-5464,,2001
1282,Ford Motor Company,One American Road,,22238,5400,(313)-322-9102,,1903
1283,Global Infotech Inc,120 West Golf Road,Suite 204,28027,35,847-466-1067,,2003
1284,"Thomson Reuters (Scientific), Inc.",1500 Spring Garden Street,4Th Floor,8382,711,(215) 386-0100,,1980
1285,"Kana Software, Inc","2550 Walsh Ave, Suite 100-120",,42565,262,408-830-5424,,2009
1286,Wellmont Medical Associates,1905 American Way,,1648,500,423-230-8200,,2011
1287,"Staples, Inc.",500 Staples Drive,,7352,80000,508-253-1789,,1986
1288,Kulicke & Soffa,1821 E. Dyer Road #200,,41598,321,9496600440,,1966
1289,"Paragon Solutions, Inc.",25 Commerce Drive,Suite 100,730,325,908-709-6767,,1982
1290,Insigma Inc,1920 Association Drive,Suite 302,8899,30,7038794117,,2007
1291,Bank Of America,100 N. Tryon Street,,12506,282000,646-556-3662,,1904
1292,"Clearslide, Inc.",45 Fremont Street,Ste 3200,42188,233,8773603366,,2009
